net,length_um
net53,289.94
_14430_,289.62
_11081_,289.26
_10669_,289.22
_14426_,288.68
_02993_,288.27
_09483_,288.22
net66,287.9
net47,287.6
rvcpu.dp.plde.ImmExtE\[15\],286.81
_09477_,286.78
_12501_,286.58
_13706_,286.58
_08663_,285.78
net55,285.6
_13466_,285.47
_12492_,285.21
clknet_5_22__leaf_clk,284.74
_06927_,283.72
_08800_,283.61
net69,282.86
_11529_,282.7
net78,282.62
_10288_,282.57
rvcpu.dp.plde.ImmExtE\[17\],282.1
net70,281.97
_10405_,281.82
net41,281.54
rvcpu.dp.plem.ALUResultM\[2\],281.07
_08632_,280.8
_11978_,280.58
_12659_,280.58
_10113_,280.23
_11676_,280.15
_10876_,280.13
_09622_,279.82
net36,279.76
_08631_,278.93
_10298_,278.64
_08988_,278.02
_10408_,277.58
clknet_5_29__leaf_clk,277.285
_10899_,277.13
net86,277.06
_13192_,276.9
_13170_,276.73
_09584_,276.53
_10076_,276.42
_12886_,276.05
net72,275.96
_10210_,275.78
_08464_,275.08
_09516_,274.9
_13539_,274.73
_10042_,274.155
_08565_,273.96
_13291_,273.24
_09728_,273.18
_10430_,273.16
_09429_,273.145
_11965_,272.94
_08144_,272.85
_08554_,272.84
_08523_,272.52
clknet_5_30__leaf_clk,271.965
net68,271.86
_10418_,271.83
net43,271.74
_12573_,271.56
_09273_,271.39
_10416_,271.355
_08680_,271.23
net67,270.6
_10631_,270.24
_08695_,269.64
_11133_,269.06
_12832_,268.78
_13504_,268.68
_09426_,268.67
net77,268.54
_09745_,268.495
datamem.data_ram\[53\]\[3\],268.19
net84,268.18
_09024_,267.64
_08550_,266.99
_11672_,266.58
_09612_,266.38
net83,266.38
_11629_,266.13
rvcpu.dp.plde.ImmExtE\[16\],265.52
_13533_,264.43
net37,264.33
_09270_,264.22
_12373_,263.34
_12859_,263.265
rvcpu.dp.plfd.InstrD\[17\],263.21
_10067_,263.09
_11047_,263.07
rvcpu.dp.plem.ALUResultM\[16\],262.97
_11268_,262.83
_13682_,262.79
_11689_,262.64
_13168_,262.5
clknet_5_12__leaf_clk,261.88
_09230_,261.32
_11837_,261.09
_09383_,260.79
_09574_,260.64
_09491_,260.45
_09795_,260.35
_12555_,260.3
_09451_,260.28
_13319_,260.255
_08986_,260.14
_11835_,260.14
net100,260
_12153_,259.665
net74,259.66
_13297_,259.51
rvcpu.ALUResultE\[2\],259.28
